Source,Target,Type,Id,Label,timeset,Weight,background_map_edge,created_at,updated_at,deleted_at
327348,327503,Directed,60,60,,2,,2020-08-07 10:55:25.895000,2020-08-07 10:55:25.895000,2020-08-07 10:55:26.469000
327348,66453,Directed,62,62,,1,,2020-08-05 21:38:28.837000,2020-08-05 21:38:28.837000,
43612,149101,Directed,63,63,,1,,2020-12-28 05:27:57.143000,2020-12-28 05:27:57.143000,
43612,134409,Directed,64,64,,1,,2020-12-28 05:27:55.945000,2020-12-28 05:27:55.945000,
43612,116585,Directed,65,65,,1,,2020-12-28 05:27:55.325000,2020-12-28 05:27:55.325000,
43612,78270,Directed,66,66,,1,,2020-12-28 05:27:49.995000,2020-12-28 05:27:49.995000,
43612,200,Directed,67,67,,1,,2014-11-17 17:08:58.267925,2014-11-17 17:08:58.267925,
43612,32806,Directed,68,68,,1,,2014-11-17 17:08:58.267925,2014-11-17 17:08:58.267925,
43612,43593,Directed,69,69,,1,,2014-11-17 17:08:58.267925,2014-11-17 17:08:58.267925,
43612,43661,Directed,70,70,,1,,2014-11-17 17:08:58.267925,2014-11-17 17:08:58.267925,
43612,44880,Directed,71,71,,1,,2014-11-17 17:08:58.267925,2014-11-17 17:08:58.267925,
43612,119828,Directed,72,72,,1,,2017-05-12 00:21:44.122813,2017-05-12 00:21:44.122813,
43612,9802,Directed,73,73,,1,,2017-05-12 00:21:44.122813,2017-05-12 00:21:44.122813,
61244,111585,Directed,74,74,,1,,2015-11-24 17:52:47.164871,2015-11-24 17:52:47.164871,
61244,45411,Directed,75,75,,1,,2015-11-24 17:52:47.164871,2015-11-24 17:52:47.164871,
61244,78482,Directed,76,76,,1,,2015-10-31 21:31:25.857963,2015-10-31 21:31:25.857963,
61244,109704,Directed,77,77,,1,,2015-10-31 21:31:25.857963,2015-10-31 21:31:25.857963,
61244,98990,Directed,78,78,,1,,2015-10-31 21:31:25.857963,2015-10-31 21:31:25.857963,
61244,60581,Directed,79,79,,1,,2015-10-31 21:31:25.857963,2015-10-31 21:31:25.857963,
61244,63974,Directed,80,80,,1,,2015-10-31 21:31:25.857963,2015-10-31 21:31:25.857963,
61244,58988,Directed,81,81,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,33262,Directed,82,82,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,59032,Directed,83,83,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,59012,Directed,84,84,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,5523,Directed,85,85,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,39807,Directed,86,86,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,12237,Directed,87,87,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,11431,Directed,88,88,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,40300,Directed,89,89,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,40325,Directed,90,90,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,40317,Directed,91,91,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,41319,Directed,92,92,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,59543,Directed,93,93,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,59580,Directed,94,94,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,59585,Directed,95,95,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,59604,Directed,96,96,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,36068,Directed,97,97,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
61244,59646,Directed,98,98,,1,,2014-12-26 17:35:45.926911,2014-12-26 17:35:45.926911,
